symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
IOC,2026-05-06T10:45:17.447672+00:00,40.0,0.0,50.0,50.0,50.0,,50.0,AVERAGE
ONGC,2026-05-06T10:45:17.447672+00:00,42.88,14.388622835436934,50.0,50.0,50.0,,50.0,AVERAGE
INFY,2026-05-06T10:45:17.447672+00:00,49.55,47.75776049540831,50.0,50.0,50.0,,50.0,AVERAGE
TCS,2026-05-06T10:45:17.447672+00:00,50.86,54.30480405603389,50.0,50.0,50.0,,50.0,AVERAGE
BPCL,2026-05-06T10:45:17.447672+00:00,40.83,4.137281696088587,50.0,50.0,50.0,,50.0,AVERAGE
CHOLAFIN,2026-05-06T10:45:17.447672+00:00,49.44,47.183675933184446,50.0,50.0,50.0,,50.0,AVERAGE
CANBK,2026-05-06T10:45:17.447672+00:00,47.45,37.25040933154338,50.0,50.0,50.0,,50.0,AVERAGE
TATASTEEL,2026-05-06T10:45:17.447672+00:00,40.0,0.0,50.0,50.0,50.0,,50.0,AVERAGE
BRITANNIA,2026-05-06T10:45:17.447672+00:00,46.51,32.548526298937986,50.0,50.0,50.0,,50.0,AVERAGE
UNIONBANK,2026-05-06T10:45:17.447672+00:00,48.3,41.50403828234377,50.0,50.0,50.0,,50.0,AVERAGE
ULTRACEMCO,2026-05-06T10:45:17.447672+00:00,44.31,21.56997486030143,50.0,50.0,50.0,,50.0,AVERAGE
BAJAJ-AUTO,2026-05-06T10:45:17.447672+00:00,48.18,40.912544036103704,50.0,50.0,50.0,,50.0,AVERAGE
BAJAJHLDNG,2026-05-06T10:45:17.447672+00:00,60.0,100.0,50.0,50.0,50.0,,50.0,GOOD
TVSMOTOR,2026-05-06T10:45:17.447672+00:00,41.93,9.659272998005454,50.0,50.0,50.0,,50.0,AVERAGE
BAJAJFINSV,2026-05-06T10:45:17.447672+00:00,46.96,34.81020883298208,50.0,50.0,50.0,,50.0,AVERAGE
PFC,2026-05-06T10:45:17.447672+00:00,56.59,82.94654265743512,50.0,50.0,50.0,,50.0,AVERAGE
INDUSINDBK,2026-05-06T10:45:17.447672+00:00,49.1,45.514362715048534,50.0,50.0,50.0,,50.0,AVERAGE
COALINDIA,2026-05-06T10:45:17.447672+00:00,53.95,69.75482920614795,50.0,50.0,50.0,,50.0,AVERAGE
TATAPOWER,2026-05-06T10:45:17.447672+00:00,43.19,15.953370734933289,50.0,50.0,50.0,,50.0,AVERAGE
CIPLA,2026-05-06T10:45:17.447672+00:00,50.27,51.36952041542392,50.0,50.0,50.0,,50.0,AVERAGE
