symbol,year_label,document_url
BHARTIARTL,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/532454/5324540314.pdf
BHARTIARTL,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/532454/5324540313.pdf
BHARTIARTL,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/532454/5324540312.pdf
BHEL,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c24318ed-7bfa-490a-b9f9-26a2e0357d0a.pdf
BHEL,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//b6e66b29-cb68-48f7-9a6a-d309a42dd11c.pdf
BHEL,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500103/76557500103.pdf
BHEL,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500103/70082500103.pdf
BHEL,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500103/66171500103.pdf
BHEL,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500103/5001030319.pdf
BHEL,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500103/5001030318.pdf
BHEL,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500103/5001030317.pdf
BHEL,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500103/5001030316.pdf
BOSCHLTD,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/072e76ef-9e25-4ecd-8120-1d4cb8a7a26e.pdf
BOSCHLTD,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//ab7fff05-7a4a-4f46-8946-d91a638b3de1.pdf
BOSCHLTD,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500530/73625500530.pdf
BOSCHLTD,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500530/68917500530.pdf
BOSCHLTD,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500530/5005300320.pdf
BOSCHLTD,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500530/5005300316.pdf
BOSCHLTD,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500530/5005300315.pdf
